,Date,Region,Country,Title,Content,URL
10,08/28/2014,MENA,Saudi Arabia,Saudi Arabia jails 23 more men for militancy in security crackdown,"A Saudi Arabian court sentenced 23 men to jail terms of up to 22 years for their role in militant attacks, state media said on Wednesday, part of a security crackdown in which scores of people have been imprisoned over the past week. On Tuesday state media reported that 17 men had been jailed for terms of up to 33 years. Last week, 48 men were sentenced to prison terms of up to 30 years and one was condemned to death for militant crimes. Those jailed have been convicted of crimes including ""breaking allegiance to the ruler"", espousing a militant ideology, traveling to fight in foreign conflicts, setting up cells to attack foreigners and manufacturing explosives.",http://www.reuters.com/article/2014/08/27/us-saudi-militants-idUSKBN0GR27J20140827
11,08/28/2014,MENA,State of Palestine/Israel,Gaza ceasefire has no winners and leaves much unresolved,"Israel and Palestinians both boasted of victory in the Gaza war but analysts say Hamas received only promises while the conflict aggravated divisions in the Israeli leadership. ""After 50 days of fighting, both sides were exhausted so that's why they reached a ceasefire,"" said Middle East analyst Eyal Zisser of the Israeli Moshe Dayan Institute. Seven weeks of fighting cost the lives of 2,143 Palestinians and ravaged the Gaza Strip, where the Islamist Hamas movement has de facto power. On the Israeli side 70 died -- their heaviest toll in a conflict since 2006.",http://www.ndtv.com/article/world/gaza-ceasefire-has-no-winners-and-leaves-much-unresolved-582897
12,08/28/2014,MENA,Syria,Assad appoints a new cabinet,"Syrian President Bashar al-Assad issued a decree to form a new government on Wednesday, keeping most key ministers in place. Assad was sworn in for a new seven-year term on July 16 after a presidential election that confirmed his grip on power, a process that required him to name a new government. He re-appointed Wael al-Halaqi as prime minister, having first given him the job 2012 after his predecessor, Riad Hijab, fled Syria to join the opposition. Halaqi, who wields little power in a system dominated by the president, survived a bomb attack on his convoy in Damascus last year.",http://www.reuters.com/article/2014/08/27/us-syria-crisis-government-idUSKBN0GR1R420140827
13,08/28/2014,MENA,Syria,Most victims of Syrian cluster bombs are civilian: Cluster Munition Coalition,"Cluster bomb attacks and unexploded munitions killed or injured nearly 1,600 people in Syria in the past two years – 97 percent of them civilians – Cluster Munition Coalition (CMC) said on Wednesday. “Appallingly, last year in Syria there were more casualties and civilian suffering from cluster munitions than at any other time or place since Monitor reporting began,” said Megan Burke of the Survivor Network Project, editor of the casualties and victim assistance chapter of the report. Two U.N. General Assembly resolutions condemned the Syrian government’s use of cluster bombs in 2013, and a U.N. Security Council resolution in May 2014 expressed serious concern at their use by South Sudan.",http://www.reuters.com/article/2014/08/27/us-foundation-clusterbombs-report-idUSKBN0GR1CQ20140827
14,08/28/2014,MENA,Yemen,Yemen’s president warns rebels over mass rallies,"Yemen’s president has warned Shiite rebels leading mass protests in the country’s capital that the United States and other world powers oppose the demonstrations. President Abed Rabbo Mansour Hadi’s remarks Wednesday, carried by Yemen’s official SABA news agency, came as Hawthi leader Abdel-Malek al-Hawthi vowed to continue the demonstrations until his demands are met. The protesters want Yemen’s government to step down and for fuel subsidies to be restored.",http://www.salon.com/2014/08/27/yemens_president_warns_rebels_over_mass_rallies/
15,08/28/2014,SA,Pakistan,Pakistan set for 'decisive' day of protests,"Tens of thousands of protesters are preparing to convene in the Pakistani capital Islamabad, in the ""deciding day"" of a bid to bring down Prime Minister Nawaz Sharif, after discussions between opposition groups and the government ended without agreement. Anti-government cleric Tahir ul-Qadri, who has a huge following and runs a network of Islamic schools and hospitals, told his supporters on Thursday he had ""shut the door"" on further talks and urged them to prepare for a decisive day in their campaign against Sharif. ""Thursday will be Revolution Day,"" he told a roaring crowd. ""We will not go forward from tomorrow as it will be the deciding day.""",http://www.aljazeera.com/news/asia/2014/08/pakistan-set-decisive-day-protests-2014828640256887.html
16,08/28/2014,SA,Sri Lanka,Sri Lanka election monitors alarm at escalating violence in run-up to voting,"Sri Lankan election monitors on Wednesday voiced alarm at escalating violence in the run up to provincial elections next month with over 20 opposition party offices attacked this week. Election monitors, including the People's Action for Free and Fair Elections (PAFFREL) and Campaign for Free and Fair Elections (CaFFE), have released statements calling on the Elections Commissioner and police chief to take action to stop the violence in the Uva province of the country.",http://www.globalpost.com/dispatch/news/xinhua-news-agency/140827/sri-lanka-election-monitors-alarm-at-escalating-violence-run
17,08/28/2014,WCA,Across West Africa,US official says Ebola epidemic will worsen,"The Ebola outbreak in West Africa is going to get worse before it gets better, according to the top US public health official.  Tom Frieden, the director of the Centers for Disease Control, said the epidemic would need an ""unprecedented"" response to bring it under control.  Health ministers from across West Africa are due to meet in Ghana to discuss the growing crisis.  The World Health Organization says the outbreak has killed 1,427 people.  The health body says it is the largest ever Ebola epidemic and has infected an estimated 2,615 people.",http://www.bbc.com/news/world-africa-28961944
18,08/28/2014,WCA,Cameroon,Cameroon army kills 27 Boko Haram militants in border clashes,"Cameroon's army has killed 27 members of Boko Haram near a northern town, state radio said on Wednesday, in a sign of the growing cross-border threat the militants pose. The Boko Haram fighters crossed the border into Cameroon earlier this week, after attacking a military base and police station in Nigeria and apparently sending some 480 Nigerian troops retreating across the frontier.",http://www.reuters.com/article/2014/08/27/us-cameroon-nigeria-boko-haram-idUSKBN0GR1G520140827
19,08/28/2014,WCA,Niger,"Niger parliament chief, facing probe in baby-trafficking case, 'discreetly' leaves country","Niger's head of parliament, who faces questioning in a probe into international baby-trafficking, has ""discreetly"" left the country for Burkina Faso, an opposition official said. Hama Amadou is suspected of ""complicity"" in the trafficking of babies born in Nigeria and trafficked into Niger via Benin. But Amadou, who is considered the leading challenger to President Mahamadou Issoufou ahead of elections in 2016, has denounced the charges as politically motivated and said they would involve a breach of his parliamentary immunity.",http://www.centnews.com/World/Niger-parliament-chief-facing-probe-in-baby-trafficking-case-discreetly-leaves-country/S-2014-08-28/86500.html
20,10/09/2014,GENERAL,Across Regions ,5 U.S. airports to screen for fever,"The US White House said extra screening for fever will be carried out for arriving passengers from West Africa. Extra screening for fever will be carried out for arriving passengers from West Africa. The screening will start at New York's John F. Kennedy airport from the weekend, and later be used at Newark Liberty, Washington Dulles, Chicago O'Hare and Hartsfield-Jackson Atlanta. The case has stirred attention and concern that someone with Ebola had been able to fly into the United States from Liberia, raising the specter more passengers could arrive and spread the disease outside of West Africa, where nearly 4,000 people have died in three impoverished countries.",
21,10/09/2014,GENERAL,Across Regions ,Second UN medical official in Liberia had contracted Ebola,"The United Nations said that one of its medical officials in Liberia had contracted Ebola and was being treated there. The international worker, who's not been named, is the second member of the U.N. mission in Liberia to be infected with the virus. The first died on September 25.",
22,10/09/2014,GENERAL,Across Regions ,Global Ebola Response Coalition on October 10,"The Fifth Committee of the U.N. General Assembly a body responsible for administrative and budgetary issues recently adopted a measure to allocate $49.9 million to fund UNMEER. The U.N. plans to launch a Global Ebola Response Coalition on October 10, which will bring business, political, and health leaders together to mobilize resources and support for the ongoing response.",
23,10/09/2014,GENERAL,Across Regions ,"Thomas Eric Duncan, the first person diagnosed with Ebola in the US who died Wednesday will be cremated.","US State officials, in announcing the planned cremation, cited the strict federal policies on the handling of Ebola victims. ""The cremation process will kill any virus in the body so the remains can be returned to the family. No protective gear is needed to handle the remains after cremation,"" said a statement from the Texas Department of State Health Services.",
25,10/09/2014,CEE/CIS,Ukraine,"Eastern Ukraine conflict continues to take heavy toll on civilians, UN report warns","While the fragile month-long ceasefire in eastern Ukraine is a welcome step towards ending the conflict, armed groups continue to terrorize the population in areas under their control, pursuing killings, abductions, torture, ill-treatment and other serious abuses, the United Nations Human Rights Office said today as it released its latest report on the situation in the country. “Further prolongation of this crisis will make the situation untenable for the millions of people whose daily lives have been seriously disrupted,” UN High Commissioner for Human Rights Zeid Ra’ad Al Hussein said in a statement from his Office on the release of the report.",
26,10/09/2014,CEE/CIS,Turkey,Turkey demands creation of no-fly zone and buffer zone inside Syria,"Turkey has demanded the creation of a no-fly zone as well as buffer zones inside Syria. U.S. officials sent mixed messages on the latter idea, with US Secretary of State John Kerry saying it was worthy of close study but the Pentagon and White House decidedly cooler. Without Turkish or other troops on the ground, which seems unlikely for the now, matters remain in the hands of Syrian Kurd fighters and the U.S. air strikes.",
27,10/09/2014,EAP,China,China Facing Mosquito-Borne Dengue Fever Epidemic,"China is facing its worst outbreak of mosquito-borne dengue fever in two decades. The total number of cases in the hardest-hit province of Guangdong has reached 23,146, with 1,661 new cases reported on Monday. The situation is getting severe, with more than 1,000 new cases found daily for the past three days,” the official Xinhua New Agency reported on Tuesday. Six people have already died, five in the provincial capital of Guangzhou and a sixth in the city of Foshan. Twenty out of 21 prefectural cities in the southern province are affected.",
28,10/09/2014,EAP,Philippines,Al-Qaeda-linked militants threaten to behead German hostage on Oct 17,"Elite Philippine troops have been deployed to ""flush out"" al-Qaeda-linked militants holding two German tourists captive in southern Sulu province - an Abu Sayyaf stronghold. Earlier this month, the Abu Sayyaf threatened to behead one of them October 10 - later extending the deadline to October 17 - unless a P250-million ($5.62-million) ransom is paid and Germany stops supporting a U.S.-led campaign against the Islamic State in Iraq and the Levant (ISIL).",
30,10/09/2014,ESA,South Africa,Moroccan diplomat found dead in South Africa ,"South African police are investigating the fatal stabbing of a Moroccan diplomat whose body was found in the guesthouse where he was staying. The South African government on Wednesday identified the diplomat as Noureddine Fatmi, first secretary in charge of consular affairs. A South African police spokesman, Brig. Neville Malila, says the diplomat suffered multiple stab wounds. Malila says his colleagues discovered the body after the diplomat failed to show up for work. The police spokesman says a cellular phone was missing, but no other belongings were removed from the guesthouse in Pretoria, the South African capital. Morocco's ministry of foreign affairs says it is working with South African authorities on the case. ",
32,10/09/2014,MENA,Syria,U.S. military says air strikes may not save Kobani from Islamic State,"The U.S. military on Wednesday said air power alone may not save the Syrian town of Kobani from Islamic State militants as U.S. officials appeared to brace for the town's fall. U.S. Secretary of State John Kerry, echoed by other officials, made the case in public on Wednesday that the loss of the town would not be a strategic defeat in the two-month-old U.S. air campaign to ""degrade and defeat"" the group.",
33,10/09/2014,MENA,Syria,Syria declares another 4 chemical weapons facilities,"Syria has declared four chemical weapons facilities it hadn't mentioned before, a special representative of the U.N. secretary-general told the Security Council on Tuesday. The news heightened concerns that the Syrian government hasn't been fully open about its chemical weapons program. Diplomats said Sigrid Kaag told them during closed consultations that three of the facilities are for research and development and one is for production, and that no new chemical agents have been associated with the four sites.",
34,10/09/2014,MENA,Yemen,20 people killed in suicide bomb blast in Yemeni capital Sanaa,At least 20 people were killed when a suicide bomber struck a demonstration in the heart of the Yemeni capital. The attack ripped through Sanaa's Tahrir Square a central plaza currently held by Zaidi Shia rebels. The rally had been called by the Houthis to protest against the president's choice of prime minister who has now turned down the post.,
35,10/09/2014,MENA,Yemen,Leader of Yemen's Houthis calls protest against new prime minister,"The leader of the Houthi group which seized control of Yemen's capital last month called on Wednesday for a mass protest in Sanaa on Thursday against the appointment of a new prime minister, which he said had been dictated by the United States.",
36,10/09/2014,MENA,Yemen,Nine killed as al-Qaeda attacks south Yemen town,"At least nine people have been killed in an attack by al-Qaeda militants on security and government buildings in the south of Yemen, The official Saba news agency said car bombs were used in the dawn assault on the town of Bayda which was repelled. Al-Qaeda's local offshoot reportedly targeted security forces in Bayda because it saw them as sympathetic to Shia rebels who recently overran Sanaa. The jihadist group has vowed to fight the Shia Houthis in defense of Sunnis. The deadly violence in the capital last month was the outcome of a Persian plot a reference to the Houthis' links to regional Shia power Iran.",
38,10/09/2014,SA,India,Five more civilians killed in worst India-Pakistan fighting for years ,Five civilians were killed and thousands took refuge in camps in the disputed region of Kashmir on Wednesday after some of the most intense fighting between nuclear-armed neighbours Pakistan and India in a decade. A total of nine Pakistani and eight Indian civilians have been killed since fighting erupted more than week ago in the mostly Muslim Himalayan region. Kashmir is claimed by both countries and has been a major focus of tension in South Asia. Each side has accused the other of targeting civilians and unprovoked violations of a border truce that has largely held since 2003.,
39,10/09/2014,SA,India,Health workers dump newborn into garbage bin ,"Health workers from a government hospital in Bihar dumped a newborn baby in a garbage bin after the mother refused to tip them. However, the baby survived even after being left in the bin for some time. The baby is now safe and in good health. According to the report, Kanti Devi, wife of Rajendra Manjhi from the Sisai village in Gopalganj district, was admitted to the local primary government health centre on Monday night when she went into labour. The health workers attended to the patient and ensured a safe delivery. According to reports, soon after the delivery, the health workers asked for money from the patient's family for services rendered for the safe delivery but they refused citing their lack of finances. The refusal left the health workers angry and they later dumped the baby in the hospital's garbage bin saying the baby was a stillborn.",
40,10/09/2014,SA,Pakistan,Polio becomes ‘public health emergency’ in Pakistan as number of cases soars – UNICEF MENTION,"As world health officials struggle to respond to the Ebola epidemic, Pakistan has passed a grim milestone in its efforts to combat another major global health crisis: the fight against polio. Over the weekend, Pakistan logged its 200th new polio case of 2014, the nation’s highest transmission rate in more than a dozen years. In response to the WHO declaration, Prime Minister Nawaz Sharif vowed to redouble efforts to vaccinate children through house-to-house searches and checkpoints along major travel routes. After the Pakistani military launched an operation against militants in North Waziristan in June, more than 1 million residents fled their homes and resettled in other areas of the country. The displaced included about 350,000 children who health officials fear have never been vaccinated. “It’s like if you break the walls on a dam, the waters come down on the village,” said Bilal Ahmed, a UNICEF health specialist in northwestern Pakistan. “There was high movement of the virus.”",
41,10/09/2014,SA,Pakistan,Civilians become worst casualties of Kashmir clashes,At least 16 people have been killed and dozens injured as Indian and Pakistani troops continue to exchange fire in some of the worst violence in the disputed region of Kashmir in a decade. Hundreds of villagers have fled their homes. Although a 2003 ceasefire remains in place both sides have accused each other of starting the hostilities. Civilians have become the worst casualties of the latest round of border hostilities. ,
42,10/09/2014,WCA,Across WCA,"Ebola effect reverses gains in maternal, child mortality","Maternal and infant deaths in Liberia and Sierra Leone are set to rise above their current alarming rates as fear of Ebola keeps pregnant women away from hospitals and makes already-scarce health workers reluctant to deliver babies. “At the beginning of the outbreak, health service staff were the ones getting Ebola – many of them were dying. And they had no facilities to help sufferers. People grew terrified and when news spread, everyone got scared,” said the head of maternal health for the UN Children’s Fund (UNICEF) in Sierra Leone, Augustin Kabano. “Some centres have just two or three staff so if one dies, the whole system shuts down.”",
43,10/09/2014,WCA,Liberia,Health workers planning to strike,"Health workers said they planned to strike if their demands for more money and safety equipment were not met by the end of the week. Health workers there are demanding monthly salaries of $700, as well as personal protective equipment, said George Williams, secretary-general of Liberia's National Health Workers Association.",
44,10/09/2014,WCA,Mali,Mali to UN: Consider a Rapid Intervention Force,"Mali's foreign minister urged the United Nations on Wednesday to consider creating a rapid intervention force to fight extremist groups in the African country's troubled north, warning that the region ""once again runs the risk of becoming the destination of hordes of terrorists."" Abdoulaye Diop spoke to the U.N. Security Council via videoconference the day after a peacekeeper with the U.N. mission in Mali was killed in a rocket attack. That follows the death of nine peacekeepers in an attack on Friday, the deadliest since the mission began last year. U.N. peacekeeping chief Herve Ladsous has called the situation ""intolerable"" as French troops in northern Mali draw down, leaving peacekeepers largely on their own in the rebellious region.",
45,10/09/2014,WCA,Sierra Leone,Ebola burial teams in Sierra Leone go back to work,"Burial teams responsible for collecting the corpses of Ebola victims in Sierra Leone returned to work Wednesday, one day after going on strike because of a delay in receiving hazard pay. Members of the teams receive $100 a week on top of their regular salary for working under extremely dangerous conditions but say they had not been paid in weeks. The Ebola burial teams are comprised of 600 workers in groups of 12 per team.",
46,10/09/2014,WCA,Sierra Leone,Sierra Leone: strike leaves Ebola dead in streets ,"The Sierra Leone Broadcasting Corporation says bodies of Ebola victims have been left in the streets because of a strike by burial teams, who complain they have not been paid. 
Health Ministry spokesman Sidie Yahya Tunis says the situation is ""very embarrassing"" and said money was available to pay the teams. He promised to provide more information on Wednesday.
",
47,10/10/2014,GENERAL,Across Regions ,Malala and Kailash Satyarthi win Nobel Peace Prize,"Pakistani child education activist Malala Yousafzai and Kailash Satyarthi an Indian child rights campaigner have jointly won the Nobel Peace Prize. At the age of just 17 Malala is the youngest recipient of the prize. The teenager was shot in the head by Taliban gunmen in October 2012 for campaigning for girls' education. She now lives in Birmingham in the UK. The Nobel committee praised the pair's ""struggle against the suppression of children and young people"". Mr Satyarthi, 60, has maintained the tradition of Mahatma Gandhi and headed various forms of peaceful protests, focusing on the grave exploitation of children for financial gain.",
48,10/10/2014,CEE/CIS,Ukraine,No sanctions relief for Russia until forces leave Ukraine-US diplomat ,"A senior U.S. diplomat said on Thursday there should be no sanctions relief for Russia until all foreign forces and equipment have left Ukraine, Kiev's sovereignty over its border has been restored and all hostages have been released. ""Today there is a peace deal on paper in Ukraine, there is thankfully peace across a lot of Ukraine, but the peace deal is still being violated in key sectors,"" U.S. Assistant Secretary of State Victoria Nuland said in a speech at an Aspen Institute conference in Berlin on transatlantic relations.",
49,10/10/2014,CEE/CIS,Turkey,Two Police officers killed in clash between Turkish police and Kurdish protesters,"The violence came at a time of growing tensions in Turkey, with local Kurds furious over what they see as government indifference to the situation in neighbouring Syria, where Islamic State militants have laid siege to the Syrian Kurdish town of Kobani. The policemen came under attack in Bingol city centre while they were inspecting shops damaged in demonstrations earlier this week. There were no further details and no group claimed responsibility for the killings",
50,10/10/2014,EAP,DPRK,Kim Jong-un 'no show' increases N Korea speculation,"North Korean leader Kim Jong-un missed a key political anniversary ceremony, state media said, amid speculation over his absence from public view.  On Friday his name was not on a list of those who visited a mausoleum to mark the ruling party's anniversary.  Mr Kim has not been seen for more than a month, the longest hiatus since he came to power in 2011.",
51,10/10/2014,EAP,Japan,Japan braces as super typhoon Vongfong powers north,"Japan was bracing on Friday for its strongest storm this year, a super typhoon powering north towards Okinawa. As of 4 p.m. ET, the storm had maximum sustained winds of 150 miles per hour, making it a Category 4 storm, and just barely meeting the minimum standard to be called a ""super"" typhoon. The typhoon is moving extremely slowly, which raises the danger of landslides and flooding.",
52,10/10/2014,ESA,South Sudan,War-torn South Sudan passes though security laws,"South Sudanese lawmakers have passed tough new laws granting security forces sweeping powers to arrest without a warrant, a bill that rights groups have condemned as ""flawed"", reports said on Thursday. The law boosts the already powerful and much feared National Security Service (NSS), although all whom they arrest must appear in court within 24 hours.Human Rights Watch said the bill -- which must still be signed by President Salva Kiir before formally becoming law -- sanctions the ""national security service's abusive and unlawful detentions and interrogations.""",
53,10/10/2014,LAC,Mexico,Mexico missing students: New mass graves found in Iguala,"Four more mass graves have been found near the southern Mexican town of Iguala, where 43 students went missing last month. There is no word on the number of the bodies discovered in pits on Thursday. The discovery came during a huge operation to find the students who disappeared after clashing with police. They were last seen being bundled into vehicles. Last week 28 burnt bodies were found in six shallow graves, but have yet not been identified. ",
54,10/10/2014,LAC,Venezuela,US Senators urge Kerry to oppose Venezuela joining UN Security Council,"A bipartisan group of senators urged Secretary of State John Kerry Thursday to oppose Venezuela’s bid to land a rotating seat on the UNSC. The U.N. is expected to hold a vote on the Security Council seat later this month. In addition to President (Nicolas) Maduro’s vocal disdain for the United Nations, his government’s actions, at the U.N. and at home run counter to the founding principles and norms of the U.N. Charter, namely the pursuit of international peace and security and the promotion of human rights and fundamental freedoms for all people,’ the senators wrote.",
55,10/10/2014,MENA,State of Palestine,Palestinian unity government meets in Gaza ,"The Palestinian unity government has held its first meeting in Gaza, the first cabinet session since 2007, when a brief armed confrontation soured relations between Hamas and Fatah faction. Thursday's meeting was the first in the besieged enclave, and the first that Gaza-based ministers could attend, after Israel blocked their travel to the West Bank to be sworn in. Gaza's former prime minister and one of Hamas leaders Ismail Haniya urged Fatah to follow through with their reconciliation pledges.",
56,10/10/2014,MENA,Syria,Islamic State fighters seized more than a third of the Syrian border town of Kobani.,"Islamic State seizes large areas of Syrian town as U.S.led air strikes failed to halt their advance and Turkish forces looked on without intervening. ""ISIS control more than a third of Kobani - all eastern areas, a small part of the northeast and an area in the southeast,"" said Rami Abdulrahman, head of the Observatory, which monitors the Syrian civil war.",
57,10/10/2014,MENA,Syria,UN envoy calls on Turkey to prevent massacre in Kobani,"Staffan de Mistura, the United Nations' envoy to Syria, called on Turkey on Friday to help prevent a slaughter in the Syrian border town of Kobani at the hands of Islamic State fighters. Staffan de Mistura appealed to Ankara to let ""volunteers"" cross the frontier so that they can reinforce Kurdish militias defending the town that lies within sight of Turkish territory. Turkey has stationed tanks on hills overlooking Kobani but so far refused to intervene without a comprehensive deal with the United States and other allies on the Syrian civil war. It has also prevented Turkish Kurds from crossing the frontier to reinforce their fellow Kurds defending the town.",
58,10/10/2014,MENA,Yemen,Suicide bombings in Yemen kill 67 after premier quits,"Suicide bombers targeting Yemen's powerful Shi'ite Houthi group and an army camp killed at least 67 people in two separate attacks on Thursday, hours after a political crisis forced the new prime minister to step down. At least 47 people were killed, including four children, when a suicide bomber detonated a belt packed with explosives at a Houthi checkpoint in the centre of the capital Sanaa where Houthi supporters were preparing to hold a rally.",
59,10/10/2014,MENA,Libya,"100,000 Libyans flee fighting near Tripoli","About 100,000 people have fled fighting near the Libyan capital Tripoli in the past three weeks, adding to a growing problem of internal displacement, UNHCR said on Friday, with fighting among rival armed groups intensifying in a number of areas of Libya, we are seeing growing displacement - now estimated at 287,000 people in 29 cities and towns countrywide.",
60,10/10/2014,SA,Across SA,India and Pakistan warn each other over attacks,"India and Pakistan have traded warnings over a surge in violence in Kashmir which has killed at least 19 people. Pakistani Defense Minister Khawaja Asif said his country would respond befittingly to Indian aggression but it did not want confrontation. His Indian counterpart, Arun Jaitley had earlier said Pakistan would be made to pay an unaffordable price if it persisted with adventurism. Each side accuses the other of starting hostilities which broke out a week ago",
61,10/10/2014,SA,India,India braces for Cyclone Hudhud ,"A cyclone moving across the Bay of Bengal is growing in intensity Indian authorities said Friday as they prepared for Cyclone Hudhud to hit India’s eastern coast over the weekend. The cyclone is expected to pack winds of between 130 and140 kilometers an hour (81 miles an hour to 87 miles an hour) with gusts as high as to 155 kilometers an hour, the India Meteorological Department said. India has already started assembling disaster-management teams, stocking up on emergency supplies and planning mass evacuations. Heavy to very heavy rainfall is expected in a few places in northern Andhra Pradesh and southern Orissa.",
